country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","22-01-2026 19:00:00",16.486692,80.699436,NH3,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","22-01-2026 19:00:00",16.486692,80.699436,SO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","22-01-2026 19:00:00",16.486692,80.699436,CO,30,34,32
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","22-01-2026 19:00:00",16.509717,80.612222,PM10,53,82,63
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","22-01-2026 19:00:00",16.509717,80.612222,SO2,11,16,13
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","22-01-2026 19:00:00",16.554731,80.649110,NH3,4,4,4
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","22-01-2026 19:00:00",17.72,83.3,PM10,105,483,226
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","22-01-2026 19:00:00",17.72,83.3,NO2,18,170,91
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","22-01-2026 19:00:00",17.72,83.3,NH3,2,4,3
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","22-01-2026 19:00:00",27.103358,93.679645,NH3,1,1,1
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","22-01-2026 19:00:00",26.071318,91.87488,OZONE,13,43,31
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","22-01-2026 19:00:00",24.7955,84.9994,NO2,7,10,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","22-01-2026 19:00:00",24.792403,84.992416,PM10,103,270,151
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","22-01-2026 19:00:00",24.792403,84.992416,SO2,6,16,14
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","22-01-2026 19:00:00",24.792403,84.992416,OZONE,1,24,11
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","22-01-2026 19:00:00",25.697189,85.245900,OZONE,9,148,101
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","22-01-2026 19:00:00",25.560083,87.553265,OZONE,24,32,27
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","22-01-2026 19:00:00",26.0881305,87.93840336,PM10,37,87,64
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","22-01-2026 19:00:00",26.0881305,87.93840336,NO2,9,15,11
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","22-01-2026 19:00:00",26.0881305,87.93840336,CO,16,28,21
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","22-01-2026 19:00:00",14.465052,78.824187,PM2.5,39,164,117
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","22-01-2026 19:00:00",14.465052,78.824187,OZONE,25,26,26
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","22-01-2026 19:00:00",16.9872867,81.7363176,OZONE,10,38,34
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","22-01-2026 19:00:00",13.67,79.35,NO2,25,46,32
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","22-01-2026 19:00:00",13.67,79.35,OZONE,30,58,49
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","22-01-2026 19:00:00",13.615387,79.409230,NH3,7,8,7
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","22-01-2026 19:00:00",16.486692,80.699436,PM10,NA,NA,NA
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","22-01-2026 19:00:00",26.80365,84.51954,OZONE,22,24,22
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","22-01-2026 19:00:00",25.265194,87.012947,PM2.5,38,80,53
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","22-01-2026 19:00:00",25.265194,87.012947,NO2,6,8,7
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","22-01-2026 19:00:00",25.204762,85.514960,PM2.5,38,193,65
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","22-01-2026 19:00:00",25.204762,85.514960,SO2,9,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","22-01-2026 19:00:00",25.567520,83.966379,PM2.5,68,117,88
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","22-01-2026 19:00:00",25.567520,83.966379,NH3,3,3,3
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","22-01-2026 19:00:00",25.567520,83.966379,CO,22,28,25
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","22-01-2026 19:00:00",27.308328,84.531742,NH3,1,2,1
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","22-01-2026 19:00:00",27.308328,84.531742,SO2,16,17,16
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","22-01-2026 19:00:00",26.63086,84.90051,PM2.5,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","22-01-2026 19:00:00",26.63086,84.90051,SO2,NA,NA,NA
India,Bihar,Munger,"Town Hall, Munger - BSPCB","22-01-2026 19:00:00",25.376776,86.471523,PM10,47,116,68
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","22-01-2026 19:00:00",26.11442,85.39813,NO2,33,65,46
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","22-01-2026 19:00:00",26.1209,85.3647,NO2,9,15,14
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","22-01-2026 19:00:00",11.654054,92.734055,CO,NA,NA,NA
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","22-01-2026 19:00:00",16.5150833,80.5181667,PM10,96,194,131
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","22-01-2026 19:00:00",16.5150833,80.5181667,NO2,19,92,45
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","22-01-2026 19:00:00",16.5150833,80.5181667,SO2,1,32,13
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","22-01-2026 19:00:00",14.675886,77.593027,NO2,13,22,16
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","22-01-2026 19:00:00",14.675886,77.593027,NH3,5,5,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","22-01-2026 19:00:00",14.675886,77.593027,CO,16,46,26
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","22-01-2026 19:00:00",26.1209,85.3647,CO,12,54,33
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","22-01-2026 19:00:00",26.1209,85.3647,OZONE,8,22,15
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","22-01-2026 19:00:00",25.592539,85.227158,PM2.5,71,82,77
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","22-01-2026 19:00:00",25.599486,85.113666,NH3,5,8,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","22-01-2026 19:00:00",26.146529,87.454184,PM2.5,52,293,154
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","22-01-2026 19:00:00",26.146529,87.454184,NH3,4,5,4
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","22-01-2026 19:00:00",26.146529,87.454184,SO2,NA,NA,NA
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","22-01-2026 19:00:00",25.5626095,84.663264,PM10,37,79,57
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","22-01-2026 19:00:00",25.5626095,84.663264,OZONE,7,8,8
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","22-01-2026 19:00:00",26.187500,91.744194,PM2.5,63,281,173
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","22-01-2026 19:00:00",26.181742,91.78063,SO2,35,37,36
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","22-01-2026 19:00:00",26.987634,94.636574,PM2.5,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","22-01-2026 19:00:00",25.42742023,86.13886079,SO2,28,31,30
