month_year,count
Sep 2005,1
Nov 2005,1
Jan 2006,7
Feb 2006,2
Nov 2006,1
Dec 2006,3
Jan 2007,18
Feb 2007,13
Mar 2007,20
Apr 2007,19
May 2007,17
Jun 2007,26
Jul 2007,42
Aug 2007,71
Sep 2007,65
Oct 2007,53
Nov 2007,40
Dec 2007,28
Jan 2008,36
Feb 2008,30
Mar 2008,20
Apr 2008,27
May 2008,48
Jun 2008,58
Jul 2008,63
Aug 2008,87
Sep 2008,54
Oct 2008,49
Nov 2008,39
Dec 2008,42
Jan 2009,23
Feb 2009,13
Mar 2009,7
Apr 2009,18
May 2009,17
Jun 2009,11
Jul 2009,26
Aug 2009,60
Sep 2009,74
Oct 2009,66
Nov 2009,75
Dec 2009,33
Jan 2010,83
Feb 2010,75
Mar 2010,73
Apr 2010,191
May 2010,131
Jun 2010,100
Jul 2010,152
Aug 2010,184
Sep 2010,154
Oct 2010,150
Nov 2010,98
Dec 2010,145
Jan 2011,192
Feb 2011,94
Mar 2011,193
Apr 2011,121
May 2011,127
Jun 2011,122
Jul 2011,194
Aug 2011,94
Sep 2011,42
Oct 2011,36
Nov 2011,48
Dec 2011,61
Jan 2012,101
Feb 2012,67
Mar 2012,125
Apr 2012,51
May 2012,39
Jun 2012,71
Jul 2012,27
Aug 2012,62
Sep 2012,51
Oct 2012,36
Nov 2012,76
Dec 2012,88
Jan 2013,58
Feb 2013,30
Mar 2013,30
Apr 2013,45
May 2013,65
Jun 2013,119
Jul 2013,242
Aug 2013,195
Sep 2013,156
Oct 2013,52
Nov 2013,54
Dec 2013,86
Jan 2014,107
Feb 2014,107
Mar 2014,105
Apr 2014,36
May 2014,48
Jun 2014,83
Jul 2014,75
Aug 2014,109
Sep 2014,85
Oct 2014,80
Nov 2014,63
Dec 2014,137
Jan 2015,57
Feb 2015,96
Mar 2015,125
Apr 2015,68
May 2015,70
Jun 2015,110
Jul 2015,175
Aug 2015,167
Sep 2015,111
Oct 2015,73
Nov 2015,79
Dec 2015,210
Jan 2016,79
Feb 2016,66
Mar 2016,95
Apr 2016,75
May 2016,86
Jun 2016,124
Jul 2016,166
Aug 2016,109
Sep 2016,87
Oct 2016,140
Nov 2016,66
Dec 2016,90
Jan 2017,198
Feb 2017,212
Mar 2017,194
Apr 2017,192
May 2017,148
Jun 2017,163
Jul 2017,131
Aug 2017,10
Sep 2017,7
